# r_ij	ML	ED
0.00000000 0.02688159 0.02690093
1.00000000 0.02666079 0.02667888
2.00000000 0.02604846 0.02606336
3.00000000 0.02514648 0.02515658
4.00000000 0.02406202 0.02406626
5.00000000 0.02287407 0.02287158
6.00000000 0.02163426 0.02162424
7.00000000 0.02037388 0.02035535
8.00000000 0.01911267 0.01908439
9.00000000 0.01786396 0.01782450
10.00000000 0.01663795 0.01658609
11.00000000 0.01544346 0.01537877
12.00000000 0.01428851 0.01421220
13.00000000 0.01318091 0.01309631
14.00000000 0.01212803 0.01204037
15.00000000 0.01113729 0.01105267
16.00000000 0.01021580 0.01013986
17.00000000 0.00937078 0.00930728
18.00000000 0.00860906 0.00855923
19.00000000 0.00793713 0.00789986
20.00000000 0.00736033 0.00733324
21.00000000 0.00688306 0.00686370
22.00000000 0.00650842 0.00649492
23.00000000 0.00623889 0.00622984
24.00000000 0.00607629 0.00607011
