# r_ij	ML	ED
0.00000000 0.02842657 0.02844821
1.00000000 0.02832560 0.02834278
2.00000000 0.02804504 0.02805081
3.00000000 0.02762922 0.02761982
4.00000000 0.02712650 0.02710071
5.00000000 0.02657328 0.02653117
6.00000000 0.02599318 0.02593553
7.00000000 0.02539953 0.02532738
8.00000000 0.02479987 0.02471428
9.00000000 0.02419830 0.02409990
10.00000000 0.02359777 0.02348659
11.00000000 0.02300049 0.02287594
12.00000000 0.02240889 0.02227028
13.00000000 0.02182556 0.02167251
14.00000000 0.02125387 0.02108675
15.00000000 0.02069792 0.02051761
16.00000000 0.02016278 0.01997050
17.00000000 0.01965417 0.01945163
18.00000000 0.01917832 0.01896816
19.00000000 0.01874216 0.01852751
20.00000000 0.01835329 0.01813668
21.00000000 0.01801991 0.01780259
22.00000000 0.01775014 0.01753225
23.00000000 0.01755156 0.01733272
24.00000000 0.01742994 0.01721003
